"Name","Key","Section","Italian","English","German","French","Notes","Status","Ready to sync"
"Home.HousePreview.eyebrow","Home.HousePreview.eyebrow","Home","La casa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview | tipo: occhiello
Italiano attuale (repository prima del pass): ""La casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81d9b6f5fb07ab8399fc
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.title","Home.HousePreview.title","Home","Vivere il lago, da casa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview | tipo: titolo
Italiano attuale (repository prima del pass): ""Vivere il lago, da casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 2 righe; /it 834px: 1 righe; /it 1024px: 2 righe; /it 1366px: 2 righe; /it 1440px: 2 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81cd9a59e8aed453fb92
DIVERGENZA PREESISTENTE — Italiano in Notion: ""Una casa sul lago, da vivere senza fretta"". La base di questo pass è il repository italiano; verificare con Manu prima di sovrascrivere.
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.body","Home.HousePreview.body","Home","Una breve introduzione agli spazi, alla vista e alle comodità essenziali di un soggiorno a The Ranco Bay.","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview | tipo: testo
Italiano attuale (repository prima del pass): ""Una breve introduzione agli spazi, alla vista e alle comodità essenziali di un soggiorno a The Ranco Bay.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff814aa072c7c22e0c5872
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.link","Home.HousePreview.link","Home","Scopri la casa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview | tipo: CTA
Italiano attuale (repository prima del pass): ""Scopri la casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verificare separatamente la destinazione: la CTA dice «Scopri la casa», ma il componente punta a /contact. Navigazione non modificata in questo audit.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81c0b247f2f7c51d76c5
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.imageAlt","Home.HousePreview.imageAlt","Home","Il Lago Maggiore incorniciato dalla veranda in ombra","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Il Lago Maggiore incorniciato dalla veranda in ombra""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8192b4cbfdbe4c11c70f
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.facts.lakeView","Home.HousePreview.facts.lakeView","Home","Vista lago","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview.facts | tipo: etichetta
Italiano attuale (repository prima del pass): ""Vista lago""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8166abbbe57725cf2f4b
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.facts.privateBeach","Home.HousePreview.facts.privateBeach","Home","Spiaggia privata","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview.facts | tipo: etichetta
Italiano attuale (repository prima del pass): ""Spiaggia privata""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 1 righe; /it/house 834px: 1 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 1 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff816eaa33f8d5a28687e6
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.facts.parking","Home.HousePreview.facts.parking","Home","Parcheggio","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview.facts | tipo: etichetta
Italiano attuale (repository prima del pass): ""Parcheggio""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81d399fced41b399085e
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.HousePreview.facts.equipped","Home.HousePreview.facts.equipped","Home","Alloggio attrezzato","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.HousePreview.facts | tipo: etichetta
Italiano attuale (repository prima del pass): ""Alloggio attrezzato""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81fc8b9df405efee89a5
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.GuidePreview.eyebrow","Home.GuidePreview.eyebrow","Home","Guida locale","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.GuidePreview | tipo: occhiello
Italiano attuale (repository prima del pass): ""Guida locale""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81b0aaa9fa36a34d4684
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.GuidePreview.title","Home.GuidePreview.title","Home","Tre modi per vivere il lago","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.GuidePreview | tipo: titolo
Italiano attuale (repository prima del pass): ""Tre modi per scoprire il lato più tranquillo del lago""
Da tre righe a massimo due: conserva i tre modi di vivere il lago; il tono quieto resta affidato al contesto editoriale. Eliminata la perifrasi «il lato più tranquillo».
Verifica browser (font/layout originali): /it 390px: 2 righe; /it 834px: 1 righe; /it 1024px: 1 righe; /it 1366px: 1 righe; /it 1440px: 1 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff811eaa3bd9a2a9266d16
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.GuidePreview.body","Home.GuidePreview.body","Home","Una piccola selezione locale per mangiare bene, vivere l'acqua ed esplorare oltre Ranco.","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.GuidePreview | tipo: testo
Italiano attuale (repository prima del pass): ""Una piccola selezione locale per mangiare bene, vivere l'acqua ed esplorare oltre Ranco.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81eba1b1cec060b79e6e
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.GuidePreview.link","Home.GuidePreview.link","Home","Apri la guida locale","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.GuidePreview | tipo: CTA
Italiano attuale (repository prima del pass): ""Apri la guida locale""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verificare separatamente la destinazione: la CTA dice «Apri la guida locale», ma il componente punta a /contact. Navigazione non modificata.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81d5ae05f49b51f5a755
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hospitality.eyebrow","Home.Hospitality.eyebrow","Home","Un'accoglienza locale","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hospitality | tipo: occhiello
Italiano attuale (repository prima del pass): ""Un'accoglienza locale""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81dc99e7eca68898c539
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hospitality.title","Home.Hospitality.title","Home","Il lago, come lo viviamo noi","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hospitality | tipo: titolo
Italiano attuale (repository prima del pass): ""Il lago, come lo viviamo noi""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 2 righe; /it 834px: 1 righe; /it 1024px: 2 righe; /it 1366px: 2 righe; /it 1440px: 2 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81a4869bfa4438c93c95
DIVERGENZA PREESISTENTE — Italiano in Notion: ""Un'ospitalità autentica e personale"". La base di questo pass è il repository italiano; verificare con Manu prima di sovrascrivere.
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hospitality.body","Home.Hospitality.body","Home","Il soggiorno è accompagnato da conoscenza locale, aiuto pratico e suggerimenti adatti al modo in cui ogni ospite vuole vivere il lago.","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hospitality | tipo: testo
Italiano attuale (repository prima del pass): ""Il soggiorno è accompagnato da conoscenza locale, aiuto pratico e suggerimenti adatti al modo in cui ogni ospite vuole vivere il lago.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81c3a151f4a011a6e6b2
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hospitality.link","Home.Hospitality.link","Home","Contattaci","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hospitality | tipo: CTA
Italiano attuale (repository prima del pass): ""Contattaci""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81bc8f80d649bb75561e
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.Hospitality.imageAlt","Home.Hospitality.imageAlt","Home","Un dettaglio tranquillo degli interni che racconta il carattere personale della casa","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.Hospitality | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Un dettaglio tranquillo degli interni che racconta il carattere personale della casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81959d66d408135a38f6
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.FinalCta.eyebrow","Home.FinalCta.eyebrow","Home","Pianifica un soggiorno","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.FinalCta | tipo: occhiello
Italiano attuale (repository prima del pass): ""Pianifica un soggiorno""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8101a85ef1013ac519db
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.FinalCta.title","Home.FinalCta.title","Home","Inizia con una semplice conversazione","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.FinalCta | tipo: titolo
Italiano attuale (repository prima del pass): ""Inizia con una semplice conversazione""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it 390px: 3 righe; /it 834px: 2 righe; /it 1024px: 2 righe; /it 1366px: 2 righe; /it 1440px: 2 righe; /it 1680px: 2 righe; /it 1920px: 2 righe; /it 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8110a876f8f2a8cd9c66
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.FinalCta.body","Home.FinalCta.body","Home","Raccontaci le date e cosa desideri dal tuo tempo sul Lago Maggiore. I dettagli della richiesta saranno confermati personalmente.","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.FinalCta | tipo: testo
Italiano attuale (repository prima del pass): ""Raccontaci le date e cosa desideri dal tuo tempo sul Lago Maggiore. I dettagli della richiesta saranno confermati personalmente.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff811ab9cfd2f2d0f349ad
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"Home.FinalCta.link","Home.FinalCta.link","Home","Contatta The Ranco Bay","","","","AUDIT IT — 2026-09-03 | pagina: /it | sezione: Home.FinalCta | tipo: CTA
Italiano attuale (repository prima del pass): ""Contatta The Ranco Bay""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81ad8eaddfca7253ab88
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.hero.eyebrow","House.hero.eyebrow","House","La casa","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.hero | tipo: occhiello
Italiano attuale (repository prima del pass): ""La casa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8154ba4aca6d6217b2d4
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.hero.title","House.hero.title","House","Una casa tra luce, acqua e quiete","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.hero | tipo: titolo
Italiano attuale (repository prima del pass): ""Una casa tra luce, acqua e quiete""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 4 righe; /it/house 834px: 2 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 2 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81a39012db37290a003f
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.hero.titleLineOne","House.hero.titleLineOne","House","Una casa tra luce,","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.hero | tipo: frammento titolo
Italiano attuale (repository prima del pass): ""Una casa tra luce,""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 4 righe; /it/house 834px: 2 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 2 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81f1ac4cd539a03e7b01
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.hero.titleLineTwo","House.hero.titleLineTwo","House","acqua e quiete","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.hero | tipo: frammento titolo
Italiano attuale (repository prima del pass): ""acqua e quiete""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 4 righe; /it/house 834px: 2 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 2 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8168bd0dfc4cca4ea31d
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.hero.body","House.hero.body","House","Scopri l'alloggio per capitoli: dalla prima vista verso il lago alle informazioni pratiche che rendono semplice il soggiorno.","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.hero | tipo: testo
Italiano attuale (repository prima del pass): ""Scopri l'alloggio per capitoli: dalla prima vista verso il lago alle informazioni pratiche che rendono semplice il soggiorno.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Comprensibile ma metatestuale («per capitoli»). Possibile revisione dopo approvazione: «Dalla veranda agli spazi interni: scopri la casa e le informazioni utili per il soggiorno». Non applicata.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81ff9d23e16c8402ffda
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.hero.imageAlt","House.hero.imageAlt","House","Una casa riflessa nell'acqua calma sotto una montagna boscosa","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.hero | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Una casa riflessa nell'acqua calma sotto una montagna boscosa""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81218ab7e513e5ce72ce
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.introduction.eyebrow","House.introduction.eyebrow","House","Alloggio","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.introduction | tipo: occhiello
Italiano attuale (repository prima del pass): ""Alloggio""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81ce8065ea4da9dc3663
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.introduction.title","House.introduction.title","House","Un luogo da vivere, non solo da visitare","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.introduction | tipo: titolo
Italiano attuale (repository prima del pass): ""Un luogo da vivere, non solo da visitare""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 3 righe; /it/house 834px: 2 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 2 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8137ab9eff678a37fa26
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.introduction.body","House.introduction.body","House","La casa è presentata come una sequenza sincera di spazi ed esperienze. Le fotografie attuali restano temporanee in attesa del servizio definitivo.","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.introduction | tipo: testo
Italiano attuale (repository prima del pass): ""La casa è presentata come una sequenza sincera di spazi ed esperienze. Le fotografie attuali restano temporanee in attesa del servizio definitivo.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Copy provvisorio sul servizio fotografico. Confermare stato delle fotografie prima di eliminare l’avvertenza; non presentare immagini temporanee come definitive.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff818ea6c3fb5a80a06acf
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.veranda.title","House.chapters.veranda.title","House","Veranda e arrivo","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.veranda | tipo: titolo
Italiano attuale (repository prima del pass): ""Veranda e arrivo""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 1 righe; /it/house 834px: 1 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 1 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81b2b502fecc2356517f
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.veranda.body","House.chapters.veranda.body","House","Il primo rapporto è verso l'esterno: dal riparo della casa alla strada, alla spiaggia privata e al lago oltre.","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.veranda | tipo: testo
Italiano attuale (repository prima del pass): ""Il primo rapporto è verso l'esterno: dal riparo della casa alla strada, alla spiaggia privata e al lago oltre.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
«Il primo rapporto è verso l’esterno» suona astratto. Proposta da rivedere: «Dalla veranda lo sguardo si apre verso la strada, la spiaggia privata e il lago». Confermare vista/percorso reale prima di pubblicare.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8194b5eff0e1fb118c3b
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.veranda.imageAlt","House.chapters.veranda.imageAlt","House","Il Lago Maggiore visto dalla veranda in ombra","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.veranda | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Il Lago Maggiore visto dalla veranda in ombra""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8135a4a7f72363afe949
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.living.title","House.chapters.living.title","House","Spazi comuni","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.living | tipo: titolo
Italiano attuale (repository prima del pass): ""Spazi da vivere""
A 1024px «Spazi da vivere» diventava tre righe nella colonna del capitolo. «Spazi comuni» riprende precisamente il significato della descrizione esistente.
Verifica browser (font/layout originali): /it/house 390px: 1 righe; /it/house 834px: 1 righe; /it/house 1024px: 2 righe; /it/house 1366px: 1 righe; /it/house 1440px: 2 righe; /it/house 1680px: 1 righe; /it/house 1920px: 1 righe; /it/house 2560px: 1 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8177a960fcb14dae59c7
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.living.body","House.chapters.living.body","House","Gli ambienti comuni sono pensati per mattine lente, pasti in casa e ritorni dopo una giornata sul lago.","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.living | tipo: testo
Italiano attuale (repository prima del pass): ""Gli ambienti comuni sono pensati per mattine lente, pasti in casa e ritorni dopo una giornata sul lago.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81f98c41dcf20c8650c3
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.living.imageAlt","House.chapters.living.imageAlt","House","Un'ampia finestra interna affacciata sull'acqua azzurra","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.living | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Un'ampia finestra interna affacciata sull'acqua azzurra""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff81d4ae70ce014df6d4db
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.bedroom.title","House.chapters.bedroom.title","House","Camera da letto","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.bedroom | tipo: titolo
Italiano attuale (repository prima del pass): ""Camera da letto""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Verifica browser (font/layout originali): /it/house 390px: 1 righe; /it/house 834px: 1 righe; /it/house 1024px: 2 righe; /it/house 1366px: 2 righe; /it/house 1440px: 2 righe; /it/house 1680px: 2 righe; /it/house 1920px: 1 righe; /it/house 2560px: 2 righe.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8148be4ce62a6ad5d99c
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.bedroom.body","House.chapters.bedroom.body","House","Un capitolo più quieto dedicato al riposo, allo spazio utile e ai dettagli che rendono confortevole l'alloggio.","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.bedroom | tipo: testo
Italiano attuale (repository prima del pass): ""Un capitolo più quieto dedicato al riposo, allo spazio utile e ai dettagli che rendono confortevole l'alloggio.""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
«Un capitolo più quieto» descrive il sito, non la stanza. Possibile formula: «Uno spazio quieto per riposare, con i dettagli che rendono confortevole il soggiorno». Nessuna dotazione nuova da inventare.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff8188885ddcf064ea3509
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
"House.chapters.bedroom.imageAlt","House.chapters.bedroom.imageAlt","House","Comodino in legno accanto a un letto preparato con cura","","","","AUDIT IT — 2026-09-03 | pagina: /it/house | sezione: House.chapters.bedroom | tipo: testo alternativo
Italiano attuale (repository prima del pass): ""Comodino in legno accanto a un letto preparato con cura""
Testo conservato dopo revisione; nessuna riscrittura necessaria o informazione nuova introdotta.
Riga Notion esistente: https://app.notion.com/3cb7a757f8ff819998c3eaff4523eab6
Key presente anche in messages/en.json, messages/de.json e messages/fr.json. Nessuna traduzione propagata; celle lingua Notion preservate (vuote se assenti).","Needs review","false"
